"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX","TMIN","WT01","WT02","WT03","WT08"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-06","1.12","0.00",,"35","21",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-07","1.12","0.00",,"40","24",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-08","2.24","0.00",,"43","22",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-09","1.12","0.00",,"46","26",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-10","3.80","0.00",,"45","30","    1",,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-11","10.29","0.00",,"34","21",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-12","2.91","0.00",,"31","14",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-13","4.92","0.00",,"28","17",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-14","3.58","0.00",,"27","13",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-15","2.01","0.01",,"29","10",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-16","1.34","0.00",,"36","18",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-17","1.12","0.00",,"39","20",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-18","1.12","0.00",,"41","21",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-19","1.12","0.00",,"43","22",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-20","1.12","0.00",,"44","22",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-21","1.12","0.00",,"45","22",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-22","1.57","0.00",,"47","24",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-23","1.12","0.00",,"42","26",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-24","0.67","0.00",,"44","35",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-25","1.12","0.00",,"49","38",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-26","1.12","0.70",,"45","40","    1","    1",,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-27","2.91","0.00",,"52","38","    1","    1",,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-28","6.71","0.01",,"42","30",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-29","8.28","0.00",,"43","26",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-30","3.58","0.00",,"49","31",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-31","2.91","0.00",,"51","31",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-02-01","1.34","0.00",,"51","30",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-02-02","1.34","0.00",,"50","31",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-02-03","1.12","0.00",,"48","34",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-02-04","1.57","0.00",,"50","30","    1",,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-02-05","2.01","0.00",,"53","32",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-02-06","1.57","0.00",,"58","37",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-02-07","2.91","0.00",,"54","34",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-02-08","10.07","0.00",,"56","35",,,,"    1"
